post_id,tokenization
10162596403349988,"[['The', 'last', 'fortnight', 'has', 'hardly', 'been', 'consistent', 'with', 'the', 'Morrison', 'strategy', 'of', 'winning', 'an', 'election', 'based', 'on', 'its', 'excellent', 'management', 'of', 'the', 'pandemic', ',', 'writes', 'Laura', 'Tingle', '.'], ['``', 'ABC.NET.AU', 'ANALYSIS', ':', 'A', 'picture', 'emerges', 'of', 'Morrisons', 'government', '—', 'late', 'to', 'the', 'party', 'and', 'not', 'in', 'control', ""''""]]"
10162596401499988,"[['The', 'government', 'said', 'housing', 'would', '``', 'always', 'be', 'supported', ""''"", 'in', 'last', 'month\\s', 'budget', 'but', 'it', 'was', 'a', 'bold', 'claim', ',', 'write', 'Yogi', 'Vidyattama', 'and', 'John', 'Hawkins', '.'], ['ABC.NET.AU', 'ANALYSIS', ':', 'Looking', 'to', 'buy', 'a', 'house', '?'], ['``', 'Heres', 'what', 'the', 'government', 'did', 'to', 'make', 'it', 'possible', '(', 'hint', ':', 'not', 'much', ')', ""''""]]"
10162594878674988,"[['Global', 'food', 'prices', 'were', 'at', 'their', 'highest', 'level', 'in', 'nearly', 'a', 'decade', 'in', 'May', ',', 'soaring', '40', 'per', 'cent', 'above', 'costs', 'a', 'year', 'ago', ',', 'the', 'UN', 'Food', 'and', 'Agriculture', 'Organization', 'has', 'said', '.'], ['ABC.NET.AU', 'UN', 'says', 'global', 'food', 'prices', 'have', 'reached', 'their', 'highest', 'mark', 'in', 'a', 'decade', 'The', 'UN', 'Food', 'and', 'Agriculture', 'Organization', 'says', 'global', 'food', 'prices', 'were', 'at', 'their', 'highest', 'level', 'in', 'nearly', 'a', 'decade', 'in', 'May', ',', 'soaring', '40', 'per', 'cent', 'above', 'costs', 'a', 'year', 'ago', '.']]"
10162593589789988,"[['Some', 'comfort', 'for', 'those', 'doing', 'it', 'tough', 'during', 'COVID', ':', 'When', 'Joshua', 'Coombes', 'began', 'offering', 'haircuts', 'on', 'the', 'streets', 'of', 'London', ',', 'it', 'was', 'not', 'only', 'transformative', 'for', 'the', 'strangers', 'he', 'met', ',', 'but', 'also', 'for', 'the', 'former', 'hairdresser', 'himself', '.'], ['Some', 'comfort', 'for', 'those', 'doing', 'it', 'tough', 'during', 'COVID', ':', 'When', 'Joshua', 'Coombes', 'began', 'offering', 'haircuts', 'on', 'the', 'streets', 'of', 'London', ',', 'it', 'was', 'not', 'only', 'transformative', 'for', 'the', 'strangers', 'he', 'met', ',', 'but', 'also', 'for', 'the', 'former', 'hairdresser', 'himself', '.'], ['Play', 'Video']]"
10162594580719988,"[['The', 'Delta', 'variant', 'of', 'coronavirus', ',', 'associated', 'with', 'India', 'and', 'the', 'UK', 'and', 'known', 'to', 'be', 'more', 'infectious', 'than', 'other', 'strains', ',', 'has', 'been', 'picked', 'up', 'in', 'Victoria', 'through', 'genomic', 'sequencing', '.'], ['ABC.NET.AU', 'What', 'we', 'know', 'about', 'the', 'highly', 'infectious', 'Delta', 'COVID', 'variant']]"
10162594333394988,"[['State', 'and', 'territory', 'leaders', 'met', 'again', 'today', 'for', 'National', 'Cabinet', 'and', 'discussed', 'everything', 'from', 'whether', 'aged', 'care', 'workers', 'should', 'be', 'forced', 'to', 'get', 'the', 'vaccine', ',', 'to', 'expanding', 'the', 'rollout', 'to', 'people', 'over', '40', '.'], ['``', 'ABC.NET.AU', 'Missed', 'the', 'PMs', 'latest', 'press', 'conference', '?', ""''""], ['Catch', 'up', 'on', 'the', 'key', 'moments', 'State', 'and', 'territory', 'leaders', 'met', 'again', 'today', 'for', 'National', 'Cabinet', 'and', 'discussed', 'everything', 'from', 'whether', 'aged', 'care', 'workers', 'should', 'be', 'forced', 'to', 'get', 'the', 'vaccine', ',', 'to', 'expanding', 'the', 'rollout', 'to', 'people', 'over', '40', '.']]"
10162594218594988,"[['US', 'intelligence', 'officials', 'have', 'found', 'no', 'evidence', 'that', 'a', 'series', 'of', 'unidentified', 'aerial', 'phenomena', 'observed', 'by', 'navy', 'aviators', 'in', 'recent', 'years', 'were', 'alien', 'spacecraft', ',', 'but', 'the', 'sightings', 'remain', 'unexplained', 'in', 'a', 'highly', 'anticipated', 'government', 'report', '.'], ['ABC.NET.AU', 'China', ',', 'Russia', '…', 'or', 'aliens', '?'], ['Unidentified', 'aerial', 'sightings', 'remain', 'a', 'mystery', 'to', 'US', 'intelligence', 'US', 'intelligence', 'officials', 'have', 'found', 'no', 'evidence', 'that', 'a', 'series', 'of', 'unidentified', 'aerial', 'phenomena', 'observed', 'by', 'navy', 'aviators', 'in', 'recent', 'years', 'were', 'alien', 'spacecraft', ',', 'but', 'the', 'sightings', 'remain', 'unexplained', 'in', 'a', 'highly', 'anticipated', 'government', 'report', '.']]"
10162594091314988,"[['``', 'I', 'think', 'that', 'whoever\\s', 'organised', 'it', 'needs', 'to', 'get', 'the', 'communication', 'right', 'and', 'get', 'it', 'out', 'there', ',', ""''"", 'she', 'said', '.'], ['``', 'ABC.NET.AU', 'Get', 'it', 'out', 'there', ':', 'Confusion', 'and', 'lack', 'of', 'communciation', 'ahead', 'of', 'Queenslands', 'weekend', 'of', 'mass', 'vaccinations', 'Gabrielle', 'Bright', 'was', 'meant', 'to', 'be', 'at', 'the', 'front', 'of', 'the', 'queue', 'at', 'one', 'of', 'Queensland', '’', 's', 'vaccination', 'hubs', ',', 'but', 'the', 'disability', 'support', 'worker', 'had', 'no', 'idea', 'it', 'was', 'happening', 'this', 'weekend', '.', ""''""]]"
10162594032659988,"[['Itching', 'to', 'get', 'out', 'of', 'Western', 'Australia', 'but', 'too', 'nervous', 'to', 'book', 'a', 'flight', '?'], ['``', 'Youre', 'not', 'alone', '.', ""''""], ['ABC.NET.AU', 'Is', 'there', 'any', 'point', 'booking', 'an', 'interstate', 'holiday', 'from', 'WA', '?'], ['With', 'the', 'West', 'Australian', 'border', 'pinging', 'open', 'and', 'shut', 'to', 'various', 'states', 'at', 'different', 'times', 'in', 'recent', 'months', ',', 'it', 'is', 'easy', 'to', 'be', 'confused', 'about', 'where', 'you', 'can', 'travel', 'and', 'what', 'the', 'risks', 'are', '.']]"
10162593912604988,"[['``', 'A', 'few', 'days', 'into', 'Melbournes', 'fourth', 'lockdown', 'Anna', 'Plum', 'did', 'a', 'full', 'audit', 'of', 'her', 'kitchen', 'to', 'see', 'if', 'she', 'had', 'enough', 'food', 'to', 'feed', 'her', 'family', '.', ""''""], ['``', 'ABC.NET.AU', 'My', 'family', 'has', 'survived', 'lockdown', 'because', 'of', 'strangers', 'on', 'Twitter', 'When', 'Victoria', 'went', 'into', 'lockdown', 'Anna', 'tweeted', 'about', 'her', 'fears', 'of', 'not', 'being', 'able', 'to', 'keep', 'food', 'on', 'the', 'table', 'or', 'a', 'roof', 'overhead', 'for', 'her', 'kids', '.', ""''""], ['``', 'Within', 'hours', 'she', 'was', 'overwhelmed', 'with', 'offers', 'of', 'assistance', '.', ""''""]]"
