post_id,text
10162593589789988,"[['DT', 'comfort', 'IN', 'DT', 'do', 'PRP', 'tough', 'IN', 'covid', 'WRB', 'joshua', 'coombes', 'begin', 'offer', 'haircut', 'IN', 'DT', 'street', 'IN', 'london', 'PRP', 'be', 'not', 'only', 'transformative', 'IN', 'DT', 'stranger', 'PRP', 'meet', 'CC', 'also', 'IN', 'DT', 'former', 'hairdresser', 'PRP'], ['DT', 'comfort', 'IN', 'DT', 'do', 'PRP', 'tough', 'IN', 'covid', 'WRB', 'joshua', 'coombes', 'begin', 'offer', 'haircut', 'IN', 'DT', 'street', 'IN', 'london', 'PRP', 'be', 'not', 'only', 'transformative', 'IN', 'DT', 'stranger', 'PRP', 'meet', 'CC', 'also', 'IN', 'DT', 'former', 'hairdresser', 'PRP'], ['play', 'video']]"
10162594580719988,"[['DT', 'delta', 'variant', 'IN', 'coronavirus', 'associate', 'IN', 'india', 'CC', 'DT', 'uk', 'CC', 'know', 'TO', 'be', 'more', 'infectious', 'IN', 'other', 'strain', 'have', 'be', 'pick', 'up', 'IN', 'victoria', 'IN', 'genomic', 'sequencing'], ['WP', 'PRP', 'know', 'IN', 'DT', 'highly', 'infectious', 'delta', 'covid', 'variant']]"
10162594333394988,"[['state', 'CC', 'territory', 'leader', 'meet', 'again', 'today', 'IN', 'national', 'cabinet', 'CC', 'discuss', 'everything', 'IN', 'IN', 'age', 'care', 'worker', 'MD', 'be', 'force', 'TO', 'get', 'DT', 'vaccine', 'TO', 'expand', 'DT', 'rollout', 'TO', 'people', 'IN', 'CD'], ['miss', 'DT', 'pm', 'late', 'press', 'conference'], ['catch', 'up', 'IN', 'DT', 'key', 'moment', 'state', 'CC', 'territory', 'leader', 'meet', 'again', 'today', 'IN', 'national', 'cabinet', 'CC', 'discuss', 'everything', 'IN', 'IN', 'age', 'care', 'worker', 'MD', 'be', 'force', 'TO', 'get', 'DT', 'vaccine', 'TO', 'expand', 'DT', 'rollout', 'TO', 'people', 'IN', 'CD']]"
10162594218594988,"[['us', 'intelligence', 'official', 'have', 'find', 'DT', 'evidence', 'IN', 'DT', 'series', 'IN', 'unidentified', 'aerial', 'phenomenon', 'observe', 'IN', 'navy', 'aviator', 'IN', 'recent', 'year', 'be', 'alien', 'spacecraft', 'CC', 'DT', 'sighting', 'remain', 'unexplained', 'IN', 'DT', 'highly', 'anticipated', 'government', 'report'], ['china', 'russia', 'CC', 'alien'], ['unidentified', 'aerial', 'sighting', 'remain', 'DT', 'mystery', 'TO', 'us', 'intelligence', 'u', 'intelligence', 'official', 'have', 'find', 'DT', 'evidence', 'IN', 'DT', 'series', 'IN', 'unidentified', 'aerial', 'phenomenon', 'observe', 'IN', 'navy', 'aviator', 'IN', 'recent', 'year', 'be', 'alien', 'spacecraft', 'CC', 'DT', 'sighting', 'remain', 'unexplained', 'IN', 'DT', 'highly', 'anticipated', 'government', 'report']]"
10162594091314988,"[['PRP', 'think', 'IN', 'organise', 'PRP', 'need', 'TO', 'get', 'DT', 'communication', 'right', 'CC', 'get', 'PRP', 'IN', 'there', 'PRP', 'say'], ['get', 'PRP', 'out', 'there', 'confusion', 'CC', 'lack', 'IN', 'communciation', 'ahead', 'IN', 'queensland', 'weekend', 'IN', 'mass', 'vaccination', 'gabrielle', 'bright', 'be', 'mean', 'TO', 'be', 'IN', 'DT', 'front', 'IN', 'DT', 'queue', 'IN', 'CD', 'IN', 'queensland', 'POS', 'vaccination', 'hub', 'CC', 'DT', 'disability', 'support', 'worker', 'have', 'DT', 'idea', 'PRP', 'be', 'happen', 'DT', 'weekend']]"
10162594032659988,"[['itch', 'TO', 'get', 'IN', 'IN', 'western', 'australia', 'CC', 'too', 'nervous', 'TO', 'book', 'DT', 'flight'], ['youre', 'not', 'alone'], ['be', 'there', 'DT', 'point', 'book', 'DT', 'interstate', 'holiday', 'IN', 'wa'], ['IN', 'DT', 'west', 'australian', 'border', 'ping', 'open', 'CC', 'shut', 'TO', 'various', 'state', 'IN', 'different', 'time', 'IN', 'recent', 'month', 'PRP', 'be', 'easy', 'TO', 'be', 'confuse', 'IN', 'WRB', 'PRP', 'MD', 'travel', 'CC', 'WP', 'DT', 'risk', 'be']]"
10162593912604988,"[['DT', 'few', 'day', 'IN', 'melbourne', 'fourth', 'lockdown', 'anna', 'plum', 'do', 'DT', 'full', 'audit', 'IN', 'kitchen', 'TO', 'see', 'IN', 'PRP', 'have', 'enough', 'food', 'TO', 'fee', 'family'], ['my', 'family', 'have', 'survive', 'lockdown', 'IN', 'IN', 'stranger', 'IN', 'twitter', 'WRB', 'victoria', 'go', 'IN', 'lockdown', 'anna', 'tweet', 'IN', 'fear', 'IN', 'not', 'be', 'able', 'TO', 'keep', 'food', 'IN', 'DT', 'table', 'CC', 'DT', 'roof', 'overhead', 'IN', 'kid'], ['within', 'hour', 'PRP', 'be', 'overwhelm', 'IN', 'offer', 'IN', 'assistance']]"
10162593881264988,"[['DT', 'federal', 'government', 'MD', 'fund', 'construction', 'IN', 'DT', 'quarantine', 'hub', 'IN', 'victoria', 'CC', 'DT', 'site', 'IN', 'DT', 'facility', 'have', 'not', 'yet', 'be', 'choose'], ['new', 'quarantine', 'hub', 'TO', 'be', 'build', 'IN', 'victoria', 'site', 'yet', 'TO', 'be', 'confirm', 'DT', 'victorian', 'government', 'CC', 'DT', 'commonwealth', 'have', 'reach', 'DT', 'deal', 'IN', 'DT', 'quarantine', 'facility', 'IN', 'DT', 'mickleham', 'CC', 'avalon']]"
10162593851479988,"[['vaccination', 'hub', 'MD', 'be', 'available', 'TO', 'participant', 'IN', 'DT', 'national', 'disability', 'insurance', 'scheme', 'as', 'well', 'IN', 'primary', 'carers'], ['dedicated', 'hub', 'TO', 'vaccinate', 'ndis', 'user', 'IN', 'covid', 'people', 'IN', 'disability', 'MD', 'have', 'access', 'TO', 'dedicate', 'vaccine', 'hub', 'IN', 'DT', 'federal', 'government', 'move', 'TO', 'accelerate', 'DT', 'rollout', 'IN', 'DT', 'sector']]"
10162593822024988,"[['CD', 'IN', 'CD', 'doctor', 'IN', 'australia', 'have', 'report', 'be', 'diagnose', 'IN', 'CC', 'treat', 'IN', 'depression', 'accord', 'TO', 'DT', 'CD', 'national', 'mental', 'health', 'survey', 'IN', 'doctor', 'CC', 'medical', 'student'], ['WRB', 'be', 'doctor', 'IN', 'DT', 'country', 'wear', 'mismatch', 'sock'], ['ronelle', 'andrew', 'say', 'shes', 'struggle', 'IN', 'anxiety', 'several', 'time', 'IN', 'medical', 'career'], ['today', 'PRP', 'be', 'join', 'doctor', 'IN', 'australia', 'WP', 'be', 'don', 'bright', 'fun', 'sock', 'TO', 'raise', 'awareness', 'IN', 'DT', 'mental', 'health', 'challenge', 'IN', 'medical', 'professional']]"
10162593797419988,"[['mother', 'be', 'never', 'allow', 'TO', 'speak', 'IN', 'DT', 'presence', 'IN', 'male'], ['DT', 'escape', 'WRB', 'art', 'MD', 'provide', 'solace', 'IN', 'DT', 'suffer', 'IN', 'mental', 'health', 'issue', 'a', 'new', 'program', 'aim', 'TO', 'highlight', 'DT', 'mental', 'health', 'challenge', 'face', 'IN', 'artist', 'CC', 'WRB', 'art', 'be', 'use', 'IN', 'DT', 'coping', 'mechanism']]"
10162593770164988,"[['chinas', 'leader', 'xi', 'jinping', 'MD', 'be', 'seek', 'TO', 'rein', 'IN', 'DT', 'more', 'unruly', 'element', 'IN', 'china', 'wolf', 'IN', 'diplomacy', 'write', 'bill', 'birtles'], ['analysis', 'WRB', 'xi', 'jinping', 'want', 'TO', 'change', 'DT', 'way', 'china', 'be', 'see', 'IN', 'DT', 'world', 'IN', 'several', 'year', 'IN', 'DT', 'noticeably', 'more', 'assertive', 'shift', 'IN', 'china', 's', 'diplomatic', 'CC', 'medium', 'tone', 'xi', 'jinping', 'have', 'drop', 'DT', 'first', 'hint', 'IN', 'DT', 'countrys', 'confrontational', 'style', 'need', 'adjustment', 'write', 'bill', 'birtles']]"
10162593734574988,"[['victoria', 'have', 'record', 'CD', 'new', 'locally', 'acquire', 'case', 'take', 'DT', 'state', 'outbreak', 'TO', 'CD'], ['no', 'early', 'end', 'TO', 'melbourne', 'lockdown', 'plan', 'IN', 'victoria', 'record', 'CD', 'new', 'local', 'covid', 'case', 'act', 'premier', 'james', 'merlino', 'hose', 'down', 'DT', 'expectation', 'IN', 'DT', 'lockdown', 'lift', 'early', 'IN', 'light', 'IN', 'DT', 'false', 'positive', 'reveal', 'last', 'night']]"
4611260688893544,"[['authority', 'be', 'race', 'TO', 'determine', 'WRB', 'DT', 'victorian', 'family', 'contract', 'DT', 'delta', 'variant', 'IN', 'DT', 'virus', 'WDT', 'be', 'first', 'detect', 'IN', 'india', 'CC', 'be', 'different', 'TO', 'DT', 'kappa', 'variant', 'WDT', 'spark', 'DT', 'state', 's', 'late', 'outbreak'], ['victoria', 'record', 'CD', 'new', 'local', 'case', 'IN', 'coronavirus', 'IN', 'scramble', 'TO', 'find', 'source', 'IN', 'delta', 'variant', 'authority', 'be', 'race', 'TO', 'determine', 'WRB', 'DT', 'victorian', 'family', 'contract', 'DT', 'delta', 'variant', 'IN', 'DT', 'virus', 'WDT', 'be', 'first', 'detect', 'IN', 'india', 'CC', 'be', 'different', 'TO', 'DT', 'kappa', 'strain', 'WDT', 'spark', 'DT', 'state', 's', 'late', 'outbreak']]"
4611044175581862,"[['DT', 'beautiful', 'bunch', 'give', 'training', 'CC', 'job', 'opportunity', 'TO', 'woman', 'IN', 'migrant', 'CC', 'refugee', 'background'], ['work', 'IN', 'PRP', 'be', 'DT', 'opportunity', 'IN', 'many', 'young', 'woman'], ['staff', 'IN', 'DT', 'unique', 'melbourne', 'flower', 'shop', 'be', 'grateful', 'PRP', 'MD', 'remain', 'open', 'IN', 'lockdown', 'social', 'enterprise', 'DT', 'beautiful', 'bunch', 'employ', 'woman', 'IN', 'migrant', 'CC', 'refugee', 'background'], ['IN', 'DT', 'time', 'WRB', 'many', 'be', 'struggle', 'TO', 'find', 'work', 'DT', 'woman', 'remain', 'employed', 'CC', 'able', 'TO', 'deliver', 'flower', 'TO', 'people', 'love', 'one']]"
4610963798923233,"[['facebook', 'also', 'say', 'PRP', 'MD', 'no', 'longer', 'give', 'politician', 'blanket', 'immunity', 'IN', 'deceptive', 'CC', 'abusive', 'content', 'IN', 'DT', 'social', 'network', 'base', 'IN', 'comment', 'be', 'newsworthy'], ['citing', 'public', 'safety', 'risk', 'facebook', 'say', 'donald', 'trump', 'MD', 'be', 'suspend', 'IN', 'platform', 'IN', 'IN', 'least', 'CD', 'year', 'facebook', 'have', 'suspend', 'former', 'u', 'president', 'donald', 'trump', 'IN', 'IN', 'least', 'january', 'CD', 'CC', 'announce', 'change', 'TO', 'WRB', 'PRP', 'MD', 'treat', 'world', 'leader', 'WP', 'break', 'DT', 'company', 'rule', 'IN', 'posting', 'IN', 'site']]"
4609356892417257,"[['ten', 'IN', 'thousand', 'usually', 'gather', 'IN', 'victoria', 'park', 'TO', 'commemorate', 'china', 'crackdown', 'IN', 'protest', 'IN', 'tiananmen', 'square', 'IN', 'CD'], ['IN', 'DT', 'second', 'year', 'police', 'ban', 'DT', 'vigil', 'cite'], ['hong', 'kong', 'police', 'cordon', 'off', 'annual', 'tiananmen', 'vigil', 'site', 'CC', 'arrest', 'organiser', 'IN', 'anniversary', 'thousand', 'IN', 'officer', 'be', 'expect', 'TO', 'patrol', 'DT', 'citys', 'street', 'IN', 'friday', 'TO', 'prevent', 'gathering', 'IN', 'people', 'light', 'candle', 'IN', 'DT', 'protester', 'kill', 'IN', 'chinese', 'troop', 'IN', 'beijing', 'CD', 'year', 'ago']]"
4609191125767167,"[['labor', 'have', 'describe', 'DT', 'leaked', 'strategy', 'IN', 'evidence', 'DT', 'government', 'be', 'attempt', 'TO', 'steamroll', 'IN', 'controversial', 'independent', 'assessment', 'IN', 'fake', 'consultation'], ['linda', 'reynolds', 'defend', 'controversial', 'leak', 'ndis', 'independent', 'assessment', 'market', 'strategy', 'labor', 'have', 'describe', 'DT', 'leaked', 'strategy', 'IN', 'evidence', 'DT', 'government', 'be', 'attempt', 'TO', 'steamroll', 'IN', 'controversial', 'independent', 'assessment', 'IN', 'DT', 'ndis', 'IN', 'fake', 'community', 'consultation']]"
4608843839135229,"[['DT', 'main', 'impact', 'IN', 'DT', 'hotline', 'be', 'TO', 'increase', 'stress', 'CC', 'anxiety', 'IN', 'people', 'already', 'have', 'DT', 'hard', 'time', 'look', 'IN', 'more', 'paid', 'work', 'struggle', 'TO', 'survive', 'IN', 'CD', 'day'], ['welfare', 'group', 'be', 'outrage', 'IN', 'stuart', 'robert', 'spruiks', 'new', 'dobseeker', 'figure', 'IN', 'CD', 'people', 'dobbed', 'IN', 'DT', 'hotline', 'WP', 'be', 'still', 'IN', 'investigation', 'CD', 'review', 'have', 'be', 'complete', 'IN', 'compliance', 'action', 'take', 'IN', 'just', 'CD']]"
4608774465808833,"[['DT', 'prime', 'minister', 'have', 'hit', 'out', 'IN', 'DT', 'abc', 'four', 'corner', 'program', 'IN', 'DT', 'unaired', 'episode', 'WDT', 'reportedly', 'link', 'PRP', 'TO', 'DT', 'supporter', 'IN', 'DT', 'qanon', 'conspiracy', 'theory'], ['pm', 'scott', 'morrison', 'reject', 'deeply', 'offensive', 'report', 'link', 'PRP', 'TO', 'qanon', 'prime', 'minister', 'scott', 'morrison', 'have', 'hit', 'out', 'IN', 'DT', 'abc', 'four', 'corner', 'program', 'IN', 'DT', 'unaired', 'episode', 'WDT', 'reportedly', 'link', 'PRP', 'TO', 'DT', 'supporter', 'IN', 'DT', 'qanon', 'conspiracy', 'theory']]"
4608285065857773,"[['DT', 'cargo', 'ship', 'sink', 'IN', 'DT', 'coast', 'IN', 'sri', 'lanka', 'potentially', 'spill', 'CD', 'tonne', 'IN', 'fuel', 'CC', 'cause', 'DT', 'country', 's', 'environmental', 'disaster'], ['play', 'video']]"
4608627115823568,"[['minister', 'IN', 'DT', 'ndis', 'linda', 'reynolds', 'issue', 'DT', 'unreserved', 'apology', 'TO', 'DT', 'family', 'tell', 'PRP', 'DT', 'breach', 'MD', 'not', 'have', 'happen'], ['DT', 'ndia', 'leak', 'personal', 'detail', 'TO', 'DT', 'abusive'], ['now', 'launch', 'DT', 'investigation', 'minister', 'IN', 'DT', 'national', 'disability', 'insurance', 'scheme', 'linda', 'reynolds', 'issue', 'DT', 'unreserved', 'apology', 'TO', 'DT', 'family', 'tell', 'PRP', 'DT', 'breach', 'MD', 'not', 'have', 'happen']]"
